OH,Sc,0.215006441665615
NO,Sc,-2.7789197666245364
CO,Sc,-0.972975729342739
OH,Ti,0.6454420926545978
NO,Ti,-2.1475656462025334
CO,Ti,-0.5599500559394706
OH,V,0.2588726116566491
NO,V,-1.758045918481951
CO,V,-0.3533719703774416
OH,Cr,-0.5725705816942153
NO,Cr,-1.4455678929367188
CO,Cr,-0.6453508141429474
OH,Mn,-1.231207566169381
NO,Mn,-2.0145418838996214
CO,Mn,-0.7970010110110941
OH,Fe,-5.422215635035876
NO,Fe,-8.676706457662728
CO,Fe,-7.968596022949203
OH,Co,-0.5330255557483738
NO,Co,-3.2497512980534218
CO,Co,-3.840290455987944
OH,Ni,-1.4813058495692673
NO,Ni,-2.716659181216489
CO,Ni,-1.8008720839670183
OH,Cu,-2.6762186673134636
NO,Cu,-3.3217139363376766
CO,Cu,-1.7689279898675103
OH,Y,0.12603610181747626
NO,Y,-3.1346732258677683
CO,Y,-0.8997987274496246
OH,Zr,0.35325405995924797
NO,Zr,-2.6600526249215584
CO,Zr,-0.9917351857023995
OH,Nb,0.017580247897797108
NO,Nb,-2.1672063900258145
CO,Nb,-0.514283982664022
OH,Mo,-0.6603829564993404
NO,Mo,-1.8149024171479873
CO,Mo,-0.8156029770298296
OH,Ru,-1.8564204350284186
NO,Ru,-2.046938726214318
CO,Ru,-0.655256880555303
OH,Rh,-1.6330409926279899
NO,Rh,-2.263982576911655
CO,Rh,0.04573105542436551
OH,Pd,-2.838915199034666
NO,Pd,-3.0328087037198266
CO,Pd,-0.7817736763878962
OH,Ag,-2.578030843849703
NO,Ag,-3.409712505022018
CO,Ag,-1.2845149641194489
OH,Hf,0.33961223874234747
NO,Hf,-2.5234873465421153
CO,Hf,-0.7073750219914707
OH,Ta,-0.2643751748366512
NO,Ta,-2.3172272493963426
CO,Ta,-0.6405605422654013
OH,W,-0.7318268463145827
NO,W,-2.1032647342944237
CO,W,-0.8476150425466251
OH,Re,-1.1438181630972863
NO,Re,-2.508346766005925
CO,Re,-0.9190024889967567
OH,Os,-1.4592196655489218
NO,Os,-2.131181882674735
CO,Os,-0.6201966364622429
OH,Ir,-1.1711182073136612
NO,Ir,-2.2271665308082866
CO,Ir,-0.047363425986876706
OH,Pt,-2.1425180037547804
NO,Pt,-2.947178049615143
CO,Pt,-0.28621893055893466
OH,Au,-2.792406102487604
NO,Au,-3.1009712639603073
CO,Au,-1.2643828540417594
