N,Sc,-3.251699781825531
O,Sc,-0.3490654999790834
H,Sc,0.3859830282936474
N,Ti,-2.121785114190496
O,Ti,0.08519708940852411
H,Ti,0.4421168123984276
N,V,-0.2908960514677492
O,V,0.7098401356152237
H,V,0.2505743627561503
N,Cr,-0.005546363879554761
O,Cr,-0.34571799327900976
H,Cr,0.1563582447860017
N,Mn,-0.2651117498957323
O,Mn,-1.0839730557222538
H,Mn,0.025800674295193726
N,Fe,-5.8226786573725295
O,Fe,-7.768837582090811
H,Fe,-2.6858448281345457
N,Co,-4.86940906071697
O,Co,-6.587152700871869
H,Co,-1.885672184384266
N,Ni,-3.7887112771433653
O,Ni,-3.1456640976148478
H,Ni,-0.893876229281855
N,Cu,-4.854175660762772
O,Cu,-5.446184740083936
H,Cu,-1.0056921026022434
N,Y,-3.8007653526348424
O,Y,-0.786186176335228
H,Y,0.3256885674199341
N,Zr,-2.1571136910655913
O,Zr,-0.47741159982935244
H,Zr,0.19288188122620964
N,Nb,-0.7430072649016655
O,Nb,0.1135817627390665
H,Nb,-0.11366393679491837
N,Mo,-0.5605274667342801
O,Mo,-0.6168851703278904
H,Mo,-0.25168203470463313
N,Ru,-1.3157823241221198
O,Ru,-2.7284467372054735
H,Ru,-0.42336915549184484
N,Rh,-1.3858364906836247
O,Rh,-2.9329794369043327
H,Rh,0.393175158198257
N,Pd,-3.432384507655309
O,Pd,-4.232158574157879
H,Pd,0.2300840034028755
N,Ag,-5.546543621246757
O,Ag,-5.9733643567048915
H,Ag,-1.1642221428110742
N,Hf,-3.0872383073306526
O,Hf,-0.9773799960385787
H,Hf,0.2027869622102645
N,Ta,-1.9853790140721745
O,Ta,-0.4690887592141948
H,Ta,-0.40004667609010314
N,W,-1.1790483277928505
O,W,-0.8110920090562388
H,W,-0.39832472195994173
N,Re,-1.3086175344788362
O,Re,-1.6167384688148587
H,Re,-0.3281168458437276
N,Os,-1.401679922186867
O,Os,-2.7256098716150348
H,Os,-0.14447762291716915
N,Ir,-1.6123273335457302
O,Ir,-2.460102969111489
H,Ir,0.31136825324117323
N,Pt,-2.6581158535085283
O,Pt,-3.4215151230609706
H,Pt,0.44686649511425314
N,Au,-5.327196316191612
O,Au,-5.834791017798587
H,Au,-0.8164296949524439
